Tribe,Acanthaceae,Amaranthaceae,Anacardiaceae,Apocynaceae,Araceae,Arecaceae,Asteraceae,Bignoniaceae,Bombacaceae,Brasicaceae,Bromelia,Burseraceae,Cactaceae,Cochlospermaceae,Combretaceae,Cyperaceae,Euphorbiaceae,Leguminosae,Loranthaceae,Malpigiaceae,Melastomataceae,Moraceae,Myrtaceae,Onagraceae,Passifloraceae,Piperacae,Poaceae,Podocarpaceae,Portulacaceae,Proteaceae,Pteridophyta,Rubiaceae,Rutaceae,Sapindaceae,Solanaceae
Centridini,15,6,31,39,6,2,11,0,0,17,6,135,9,439,6,6,36,506,6,377,6,154,14,6,6,46,6,6,6,6,18,6,6,6,24
Meliponini,1,2,28,0,0,0,1,2,0,0,6,22,2,24,7,0,0,1243,0,2,0,150,0,0,2,0,0,0,1,0,0,1,0,0,0
Meliponini,5,4,127,15,2,0,2,3,3,0,13,20,20,91,0,1,28,406,5,41,0,576,23,0,3,14,1,0,0,0,0,0,0,0,3
Apini,1,6,334,9,4,2,5,3,3,0,6,16,0,49,0,0,26,122,0,191,1,187,111,0,0,70,0,0,0,1,1,1,0,0,17
Centridini,0,0,11,2,0,3,0,9,0,0,0,0,15,756,0,0,1,302,0,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,10
Euglossini,0,0,0,2,2,0,0,0,0,0,0,18,6,126,0,0,0,583,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meliponini,1,2,83,6,3,5,1,0,1,0,0,29,2,31,6,0,12,523,0,27,0,48,1,0,0,2,0,0,0,0,0,1,0,4,1
Centridini,0,0,12,7,4,2,0,15,0,0,0,0,4,173,0,0,1,105,0,323,0,7,0,0,0,0,0,0,0,0,0,1,0,0,9
Tetrapedini,0,0,8,10,10,0,0,0,0,0,0,10,4,251,0,0,9,129,0,56,0,14,0,0,0,2,0,0,2,1,0,0,0,0,108
Meliponini,3,0,31,1,1,0,64,0,0,0,0,1,1,2,0,0,10,1,0,25,0,467,4,0,0,1,0,0,0,0,0,0,0,0,1
