Tribe,Apocynaceae,Asteraceae,Boraginaceae,Burseraceae,Convolvulaceae,Cucurbitaceae,Euphorbiaceae,Leguminosae,Lamiaceae,Malpighiaceae,Malvaceae,Nyctaginaceae
Anthiidini,0,5,1,0,0,0,3,3,0,0,6,0
Augochlorini,0,2,1,0,0,0,4,4,0,0,15,0
Bombini,0,0,0,0,0,0,0,2,0,0,0,0
Centridini,0,0,15,0,1,0,0,8,0,1,3,0
Ceratinini,0,3,4,0,0,0,0,0,0,0,3,0
Colletinae,0,1,0,0,0,0,0,0,0,0,0,0
Emphorini,0,15,6,0,13,1,4,13,0,0,51,1
Ericrocidini,0,0,3,0,0,0,0,0,0,0,0,0
Eucerini,0,1,1,0,0,0,2,3,0,0,4,0
Euglossini,0,0,0,0,0,0,0,1,0,0,0,0
Exomalopsini,0,0,0,0,1,0,0,13,0,0,0,0
Halictini,0,0,2,0,1,0,0,2,0,0,1,0
Megachilini,0,3,0,0,1,0,1,3,0,0,2,0
Meliponini,0,0,8,38,4,0,5,22,2,0,6,1
Nomadini,0,0,0,0,0,0,0,0,0,0,1,0
Protepeolini,0,0,0,0,0,0,0,0,0,0,0,0
Tetrapedini,0,0,0,0,0,0,1,0,0,0,0,0
Xylocopini,1,0,1,0,2,0,0,6,0,0,1,0
