Tribe,Asteraceae,Convolvulaceae,Nyctaginaceae,Polygonaceae,Leguminosae,Malvaceae,Bignoniaceae,Cucurbitaceae,Meliaceae,Zygophyllaceae,Capparaceae,Scrophulariaceae
Meliponini,4,5,1,0,1,2,3,0,2,0,0,0
Megachilini,1,1,0,0,0,0,0,0,0,0,0,0
Megachilini,1,0,0,0,0,0,1,0,0,0,0,0
Halictini,3,0,0,0,0,0,0,0,0,0,0,0
Emphorini,0,11,0,0,0,0,0,0,0,0,0,0
Meliponini,4,7,3,15,3,2,0,0,0,2,0,0
Meliponini,2,0,0,10,0,0,0,0,0,0,0,0
Megachilini,3,0,0,0,0,0,0,0,0,0,0,0
Megachilini,0,0,0,0,4,0,0,0,0,0,0,0
Emphorini,0,5,0,0,0,0,0,0,0,0,0,0
Megachilini,1,0,0,0,0,0,2,0,0,0,0,0
Eucerini,0,0,0,0,0,0,0,6,0,0,0,0
Meliponini,0,0,0,5,0,0,0,0,2,1,0,0
Emphorini,1,5,0,0,0,0,0,0,0,0,0,0
Emphorini,0,4,0,0,0,0,0,0,0,0,0,0
Apini,2,1,0,4,0,0,3,0,0,0,0,0
Meliponini,5,2,0,15,0,3,0,0,1,0,0,0
Halictini,0,0,1,0,0,0,0,0,0,2,0,0
Centridini,0,0,0,0,0,1,0,0,0,0,0,0
Centridini,0,0,0,0,0,1,0,0,0,0,0,0
Centridini,0,0,0,0,0,2,0,0,0,0,0,0
Xylocopini,0,0,0,0,0,2,0,0,0,0,0,0
Apini,0,0,0,3,4,0,0,0,2,0,0,0
Augochlorini,0,0,0,1,1,0,0,0,0,0,3,0
Augochlorini,0,0,0,0,1,0,0,0,0,0,1,0
Centridini,0,0,0,0,3,0,0,0,0,0,0,0
Centridini,0,0,0,0,4,0,0,0,0,0,0,0
Ceratinini,0,0,0,0,2,4,1,0,0,0,0,0
Ceratinini,0,0,0,0,0,2,0,0,0,0,0,0
Ceratinini,0,0,0,0,1,0,0,0,0,0,1,1
Ceratinini,0,0,1,0,2,0,0,0,0,0,0,0
Osmini,0,0,0,1,5,0,0,0,0,0,0,0
Meliponini,0,0,0,7,4,0,0,0,2,0,0,0
Halictini,0,0,0,5,1,0,0,0,0,0,0,0
Halictini,0,0,2,3,2,0,0,0,0,0,0,0
Megachilini,0,0,0,2,23,1,0,0,0,0,0,0
Megachilini,0,0,0,3,0,0,0,0,0,0,2,0
Megachilini,0,0,0,5,0,3,0,0,0,0,1,0
Megachilini,0,0,0,1,3,0,0,0,0,0,1,0
Megachilini,0,0,0,0,4,1,0,0,0,0,1,0
Meliponini,0,0,0,4,1,1,0,0,0,0,0,0
Meliponini,0,0,0,10,8,3,0,0,0,0,0,0
Xylocopini,0,0,0,0,1,0,0,0,0,0,0,0
Xylocopini,0,0,0,0,1,0,0,0,0,0,0,0
Xylocopini,0,0,0,0,3,0,0,0,0,0,0,0
Xylocopini,0,0,0,0,1,0,0,0,0,0,0,0
Centridini,0,0,0,0,3,0,0,0,0,0,0,0
Centridini,0,0,0,0,3,0,0,0,0,0,0,0
Ericrocidini,0,0,0,0,2,0,0,0,0,0,0,0
Centridini,0,0,0,0,13,0,0,0,0,0,0,0
Meliponini,0,0,0,0,3,0,0,0,0,0,0,0
Meliponini,0,0,0,2,4,0,0,0,0,0,0,0
Megachilini,0,0,0,0,3,0,0,0,0,0,0,0
Megachilini,0,0,0,0,7,0,0,0,0,0,0,0
Megachilini,0,0,0,0,2,0,0,0,0,0,0,0
